run max_rpm damping_rate_full_throttle damping_rate_zero_throttle_clutch_engaged damping_rate_zero_throttle_clutch_disengaged gear_switch_time clutch_strength mass drag_coefficient tire_friction damping_rate radius max_brake_torque min_maximum_change min_distance_velocity min_change_para
3 4995.620 0.144 1.711 0.335 0.498 9.995 1481.812 0.280 2.031 0.255 35.192 1286.236 0.144 -4.204 4
3 5005.094 0.143 1.760 0.343 0.485 10.003 1483.398 0.280 2.031 0.255 35.438 1323.209 0.12 -2.67 4
3 5429.096 0.148 1.836 0.344 0.482 10.017 1342.693 0.279 1.941 0.255 34.865 1333.730 0.111 -1.736 4
3 4991.142 0.143 1.737 0.346 0.489 9.945 1509.241 0.284 2.031 0.254 35.357 1306.968 0.131 -4.191 4
3 5000.425 0.143 1.970 0.336 0.498 10.002 1422.648 0.280 1.925 0.246 34.195 1446.465 0.079 4.173 3
3 4989.754 0.143 1.978 0.344 0.485 10.143 1428.075 0.284 1.936 0.255 33.710 1443.799 0.066 4.316 3
3 5534.142 0.143 1.769 0.344 0.487 10.002 1475.023 0.280 1.798 0.248 34.869 1335.699 0.116 -18.537 6
3 5007.250 0.148 1.746 0.349 0.498 10.003 1481.621 0.280 1.943 0.255 35.598 1355.275 0.127 -3.841 4
3 5317.468 0.143 1.822 0.335 0.478 9.993 1475.142 0.278 1.814 0.255 34.791 1350.418 0.101 -4.749 6
3 5349.373 0.144 1.824 0.344 0.477 10.018 1473.514 0.292 1.959 0.255 34.469 1350.418 0.1 -3.131 5
3 5527.221 0.143 1.825 0.344 0.494 10.027 1447.397 0.284 1.814 0.256 34.779 1342.328 0.105 -5.002 6
3 5016.763 0.144 1.978 0.360 0.496 9.995 1446.515 0.284 1.944 0.255 34.755 1361.416 0.096 3.11 3
3 5004.915 0.143 1.760 0.343 0.485 10.003 1483.398 0.280 2.031 0.255 35.120 1317.873 0.121 -3.399 4
3 5384.627 0.133 1.873 0.335 0.478 10.019 1420.914 0.292 1.941 0.255 34.805 1443.060 0.113 -18.417 6
3 5010.338 0.148 1.874 0.335 0.478 10.002 1420.914 0.292 1.941 0.229 34.269 1443.060 0.084 3.588 5
